Sample	Tax.ID	Genome.Size	Bin.Size	Hits.per.Bin	Obs.CV	Sim.CV	Total.Hits	Delta.CV
HUZ695248.AF	394	6891900	1000	0.000870448280864645	47.9270268561434	33.8796873126458	6	14.0473395434976
HUZ695248.AF	1311	1838867	1000	0.602173913043478	3.94930239947974	1.29057222095477	1108	2.65873017852497
HUZ695248.AF	2787	227781	1000	0.0218340611353712	15.1327459504216	6.69301694088138	5	8.43972900954018
HUZ695248.AF	2839	119704	1000	0.148760330578512	3.20760573760262	2.62323386914003	18	0.584371868462584
HUZ695248.AF	2850	194725	1000	0.076530612244898	4.16917462982988	3.58424257993162	15	0.584932049898257
HUZ695248.AF	31964	3403786	1000	0.00176211453744493	23.8047562864365	23.8012553265166	6	0.00350095991996469
HUZ695248.AF	35128	172641	1000	0.0862068965517241	3.71112995583999	3.36144516299389	15	0.349684792846102
HUZ695248.AF	36809	5090491	1000	0.00137470542026709	30.5687556051084	26.9523357620662	7	3.61641984304217
HUZ695248.AF	40041	2149868	1000	0.0172013017201302	16.8381295242155	7.66301308917063	37	9.17511643504491
HUZ695248.AF	55529	1128485	1000	0.0141592920353982	10.6708196366697	8.3441098316704	16	2.32670980499926
HUZ695248.AF	60481	4799109	1000	0.00541553842949386	19.9198048557986	13.5518871671657	26	6.36791768863285
HUZ695248.AF	62928	4376040	1000	0.0029693924166286	18.3261000475702	18.3240011959297	13	0.00209885164040813
HUZ695248.AF	75379	3462095	1000	0.00317551963048499	20.7013333284609	17.7174724020623	11	2.9838609263986
HUZ695248.AF	76869	6078430	1000	0.000986842105263158	36.7468802129965	31.8171839770089	6	4.92969623598764
HUZ695248.AF	78245	5625098	1000	0.00106628754220722	30.6104533105634	30.6077308075131	6	0.00272250305037147
HUZ695248.AF	85643	4574586	1000	0.00284090909090909	21.4338071147357	18.7349886092957	13	2.69881850543995
HUZ695248.AF	94122	5251146	1000	0.000951837045497811	32.4006149274528	32.3975284188172	5	0.00308650863558313
HUZ695248.AF	101510	9702737	1000	0.00206100577081616	26.0451512599439	22.0045427601222	20	4.04060849982169
HUZ695248.AF	114615	7456587	1000	0.00134084204880665	27.2928539971186	27.2910219539658	10	0.00183204315275631
HUZ695248.AF	158190	3590853	1000	0.00167037861915367	24.4506257848689	24.4472173169134	6	0.00340846795554839
HUZ695248.AF	159087	4501104	1000	0.00155451920941594	25.3461709344232	25.3433526561077	7	0.00281827831547332
HUZ695248.AF	160490	1852441	1000	1.22006472491909	5.22926406110859	0.904164039422373	2262	4.32510002168622
HUZ695248.AF	160491	1841271	1000	1.20184481823114	5.36895882527114	0.909600110719649	2215	4.45935871455149
HUZ695248.AF	160619	140426	1000	0.0774647887323944	3.78910360597374	3.61849764126718	11	0.170605964706569
HUZ695248.AF	164756	5920523	1000	0.00185748058088484	38.9417858385617	23.1811018461371	11	15.7606839924245
HUZ695248.AF	171101	2038615	1000	0.096078431372549	11.9529334413934	3.21924324181663	196	8.73369019957675
HUZ695248.AF	176280	2564615	1000	0.00311769290724864	21.9160257171748	17.8815451999079	8	4.0344805172669
HUZ695248.AF	186103	1895017	1000	0.716394306800211	6.50216207486165	1.17762330260671	1359	5.32453877225493
